Apc,Lib,Project,Treatment
1661.747324,L1-1,PharI,w15 untreated
2891.215087,L1-2,PharI,w15 untreated
3612.600965,L1-3,PharI,w15 untreated
2207.747202,L1-4,PharI,w15 untreated
2288.218422,L1-5,PharI,w15 untreated
1717.092042,L1-6,PharI,w15 untreated
2204.880956,L1-7,PharI,w15 untreated
1577.524262,L1-8,PharI,w15 untreated
2947.733176,L1-9,PharI,w18 untreated
2559.120459,L1-10,PharI,w18 untreated
3752.74301,L1-11,PharI,w18 untreated
2628.445242,L1-12,PharI,w18 untreated
2697.303381,L1-13,PharI,w18 untreated
1398.500552,L1-14,PharI,w18 untreated
2351.563723,L1-15,PharI,w18 untreated
2915.990418,L1-16,PharI,w18 untreated
1743.418164,L2-1,PharI,Paclitaxel
2387.367638,L2-2,PharI,Paclitaxel
3141.348337,L2-3,PharI,Paclitaxel
2533.128031,L2-4,PharI,Paclitaxel
2314.488483,L2-5,PharI,Paclitaxel
1832.451494,L5-1,PharI,Paclitaxel
2909.56567,L5-2,PharI,Paclitaxel
3299.642595,L5-3,PharI,Paclitaxel
2824.304212,L5-4,PharI,Paclitaxel
2426.619536,L5-5,PharI,Paclitaxel
5575.968361,L2-6,PharI,Trametinib
2313.60618,L2-7,PharI,Trametinib
4831.128244,L2-8,PharI,Trametinib
2248.042644,L2-9,PharI,Trametinib
2037.69094,L2-10,PharI,Trametinib
3044.766922,L2-11,PharI,Trametinib
4154.657683,L2-12,PharI,Trametinib
2939.53362,L2-13,PharI,Paclitaxel + Trametinib
3258.585028,L2-14,PharI,Paclitaxel + Trametinib
2207.397112,L2-15,PharI,Paclitaxel + Trametinib
2679.448946,L2-16,PharI,Paclitaxel + Trametinib
1113.342731,L2-17,PharI,Paclitaxel + Trametinib
1480.378353,L2-18,PharI,Paclitaxel + Trametinib
2310.878446,L2-19,PharI,Paclitaxel + Trametinib
4030.009404,L2-20,PharI,Paclitaxel + Trametinib
3250.896437,L5-20,PharI,Phenformin
1430.663268,L5-21,PharI,Phenformin
2473.8854,L5-22,PharI,Phenformin
2595.86232,L5-23,PharI,Phenformin
2279.814244,L5-24,PharI,Phenformin
1895.611372,L5-25,PharI,Phenformin
7562.298624,L5-6,PharI,Paclitaxel + Carbo
2795.736864,L5-7,PharI,Paclitaxel + Carbo
6843.361844,L5-8,PharI,Paclitaxel + Carbo
3028.063383,L5-9,PharI,Paclitaxel + Carbo
7538.111413,L5-10,PharI,Paclitaxel + Carbo
7764.271009,L5-11,PharI,Paclitaxel + Carbo
25862.06897,L5-12,PharI,Paclitaxel + Carbo
3219.800522,L5-13,PharI,Paclitaxel + Carbo
1241.510331,L5-14,PharI,Paclitaxel + Trametinib + Carbo
5016.355055,L5-15,PharI,Paclitaxel + Trametinib + Carbo
12425.59987,L5-16,PharI,Paclitaxel + Trametinib + Carbo
3605.665443,L5-17,PharI,Paclitaxel + Trametinib + Carbo
1868.406543,L5-18,PharI,Paclitaxel + Trametinib + Carbo
1928.484048,L5-19,PharI,Paclitaxel + Trametinib + Carbo
5306.656599,L2-21,PharI,Everolimus
2612.033153,L2-22,PharI,Everolimus
5480.950953,L2-23,PharI,Everolimus
3576.906274,L2-24,PharI,Everolimus
3853.069453,L2-25,PharI,Everolimus
2099.089636,L1-17,PharI,Palbociclib
6315.496772,L1-18,PharI,Palbociclib
2689.729545,L1-19,PharI,Palbociclib
2872.11301,L1-20,PharI,Palbociclib
1989.23308,L1-21,PharI,Palbociclib
2329.062189,L1-22,PharI,Palbociclib
2064.010402,L3-1,PharII,w18 untreated KT
1934.026143,L3-2,PharII,w18 untreated KT
1563.544711,L3-3,PharII,w18 untreated KT
1942.573765,L3-4,PharII,w18 untreated KT
1366.430771,L3-5,PharII,T6: PTX/MEKi/Carbo KT
1934.627926,L3-6,PharII,T6: PTX/MEKi/Carbo KT
1624.154244,L3-7,PharII,T6: PTX/MEKi/Carbo KT
1774.326731,L3-8,PharII,T6: PTX/MEKi/Carbo KT
1660.69691,L3-9,PharII,T6: PTX/MEKi/Carbo KT
3115.250288,L3-10,PharII,w18 untreated
2427.740774,L3-11,PharII,w18 untreated
2264.971853,L3-12,PharII,w18 untreated
2893.687362,L3-13,PharII,w18 untreated
4937.475453,L3-14,PharII,w18 untreated
6070.296271,L3-15,PharII,w18 untreated
4940.153666,L3-16,PharII,w18 untreated
5223.031593,L3-17,PharII,w18 untreated
3027.204633,L3-18,PharII,w18 untreated
2770.378646,L3-19,PharII,w18 untreated
10677.90968,L4-1,PharII,Trametinib
3853.77129,L4-2,PharII,Trametinib
1755.426259,L4-3,PharII,Trametinib
2310.228437,L4-4,PharII,Trametinib
2592.063835,L4-5,PharII,Trametinib
2277.068533,L4-6,PharII,Trametinib
1790.031624,L4-7,PharII,Trametinib
2756.822186,L4-12,PharII,Trametinib 6-week
8641.672487,L4-13,PharII,Trametinib 6-week
2806.290775,L4-14,PharII,Trametinib 6-week
2768.082836,L4-15,PharII,Trametinib 6-week
3975.021791,L4-16,PharII,Trametinib 6-week
5827.308942,L4-17,PharII,Trametinib 6-week
1075.301287,L4-18,PharII,Trametinib 6-week
3071.572255,L4-19,PharII,Trametinib 6-week
2090.648846,L4-8,PharII,Phenformin
1992.014052,L4-9,PharII,Phenformin
4751.428654,L4-10,PharII,Phenformin
3727.811543,L4-11,PharII,Phenformin
2915.614043,L3-20,PharII,Palbociclib
4277.660421,L3-21,PharII,Palbociclib
1404.058396,L3-22,PharII,Palbociclib
3022.225516,L3-23,PharII,Palbociclib
3424.86473,L3-24,PharII,Palbociclib
2467.805139,L3-25,PharII,Palbociclib
