Treatment	LungWeight
w15 untreated	0.461
w15 untreated	0.632
w15 untreated	0.666
w15 untreated	0.617
w15 untreated	0.765
w15 untreated	0.268
w15 untreated	0.667
w15 untreated	0.263
w18 untreated	0.843
w18 untreated	0.67
w18 untreated	0.855
w18 untreated	0.484
w18 untreated	0.506
w18 untreated	0.201
w18 untreated	0.683
w18 untreated	0.905
Paclitaxel	0.638
Paclitaxel	0.716
Paclitaxel	1.195
Paclitaxel	0.992
Paclitaxel	0.53
Trametinib	0.608
Trametinib	0.276
Trametinib	0.601
Trametinib	0.359
Trametinib	0.248
Trametinib	0.35
Trametinib	0.193
Paclitaxel + Trametinib	0.753
Paclitaxel + Trametinib	0.589
Paclitaxel + Trametinib	0.343
Paclitaxel + Trametinib	0.64
Paclitaxel + Trametinib	0.174
Paclitaxel + Trametinib	0.258
Paclitaxel + Trametinib	0.345
Paclitaxel + Trametinib	0.466
Phenformin	0.393
Phenformin	0.331
Phenformin	0.422
Phenformin	0.602
Phenformin	0.461
Phenformin	0.479
Paclitaxel + Carbo	0.745
Paclitaxel + Carbo	0.354
Paclitaxel + Carbo	0.763
Paclitaxel + Carbo	0.443
Paclitaxel + Carbo	1.008
Paclitaxel + Carbo	0.671
Paclitaxel + Carbo	0.224
Paclitaxel + Carbo	0.571
Paclitaxel + Trametinib + Carbo	0.222
Paclitaxel + Trametinib + Carbo	0.288
Paclitaxel + Trametinib + Carbo	0.31
Paclitaxel + Trametinib + Carbo	0.186
Paclitaxel + Trametinib + Carbo	0.246
Paclitaxel + Trametinib + Carbo	0.213
Everolimus	0.793
Everolimus	0.829
Everolimus	0.752
Everolimus	1.116
Everolimus	0.623
Palbociclib	0.848
Palbociclib	0.928
Palbociclib	0.773
Palbociclib	0.686
Palbociclib	0.321
Palbociclib	0.337
